particle_number,contour_number,area_from_moment,fancy_area,arch_length,feret_x,feret_y,convexity,aspect_ratio,elongation
0,0,337,337,156.853,5,5,0.621771,1,1.63138
1,1,2,2,5.65685,22,23,1,1,999
2,2,11.5,11.5,13.8995,20,19,0.958333,0,1.72843
3,3,2,2,5.65685,20,18,1,1,999
4,0,259,259,75.598,5,5,0.877966,1,1.60971
5,0,46.5,46.5,29.5563,5,5,0.885714,1,1.77685
6,0,5.5,5.5,10.2426,5,5,1,1,2.0029
7,0,22,22,25.3137,5,5,0.733333,1,2.32951
8,0,97.5,97.5,57.3553,5,5,0.714286,0,2.25762
9,0,102.5,102.5,49.2132,5,5,0.850622,2,2.42054
10,0,236.5,236.5,72.1838,5,5,0.884112,1,2.19545
11,0,17.5,17.5,19.8995,5,5,0.795455,0,1.66717
12,0,36,36,28.1421,5,5,0.827586,1,1.09986
13,0,279.5,279.5,139.64,5,5,0.602371,0,1.12229
14,1,2,2,5.65685,17,23,1,1,999
15,2,10.5,10.5,13.8995,19,21,0.913043,1,1.87069
16,0,73,73,39.799,5,5,0.863905,1,2.00298
17,0,118,118,65.1127,5,5,0.710843,1,1.34405
18,0,60,60,33.3137,5,5,0.902256,1,1.73617
19,0,6,6,10.8284,5,5,0.923077,1,2.01848
20,0,51.5,51.5,35.5563,5,5,0.865546,2,2.59376
21,0,99,99,52.2843,5,5,0.821577,1,2.83806
22,0,24.5,24.5,22.7279,5,5,0.844828,1,1.83239
23,0,25,25,28.1421,5,5,0.666667,1,1.72944
24,1,2,2,5.65685,6,8,1,1,999
25,0,20,20,18.4853,5,5,0.930233,1,1.51704
26,0,127.5,127.5,60.1838,5,5,0.772727,1,1.54201
27,0,25.5,25.5,21.8995,5,5,0.894737,1,1.51526
28,0,32,32,25.3137,5,5,0.842105,0,1.46679
29,0,178.5,178.5,82.5269,5,5,0.818807,2,3.60049
30,1,2,2,5.65685,32,8,1,1,999
31,0,496,496,116.711,5,5,0.867133,1,1.86808
32,1,2,2,5.65685,26,31,1,1,999
33,2,2,2,5.65685,19,31,1,1,999
34,3,2,2,5.65685,30,29,1,1,999
35,4,4,4,7.65685,16,29,1,0,1.41421
36,5,5.5,5.5,9.07107,9,17,1,1,1
37,6,2,2,5.65685,15,7,1,1,999
38,7,2,2,5.65685,5,7,1,1,999
39,0,169,169,71.598,5,5,0.847118,2,2.3921
40,0,81,81,40.6274,5,5,0.84375,0,1.47818
41,1,2,2,5.65685,6,10,1,1,999
42,0,135,135,61.4558,5,5,0.739726,1,2.50934
43,0,25.5,25.5,34.3848,5,5,0.542553,1,1.39195
44,0,156.5,156.5,88.3259,5,5,0.663136,0,1.81974
45,1,4,4,7.65685,5,20,1,1,1.41421
46,2,2,2,5.65685,16,18,1,1,999
47,3,2,2,5.65685,10,18,1,1,999
48,4,2,2,5.65685,15,13,1,1,999
49,5,11,11,14.4853,13,10,0.916667,0,1.64456
50,0,195.5,195.5,104.811,5,5,0.609984,1,1.6335
51,1,2,2,5.65685,16,13,1,1,999
52,2,2,2,5.65685,17,12,1,1,999
53,3,2,2,5.65685,16,11,1,1,999
54,0,329,329,106.426,5,5,0.775943,0,3.27554
55,1,2,2,5.65685,13,6,1,1,999
56,0,183,183,62.2843,5,5,0.910448,1,2.29088
57,0,7.5,7.5,12.2426,5,5,0.882353,1,2.54858
58,0,274.5,274.5,135.095,5,5,0.667883,1,6.63147
59,0,197.5,197.5,67.3553,5,5,0.835095,1,1.86323
60,0,213,213,79.598,5,5,0.731959,1,1.41147
61,1,6,6,9.65685,8,21,1,1,1.73205
62,2,2,2,5.65685,6,18,1,1,999
63,0,187,187,66.2843,5,5,0.867749,0,2.12793
64,0,261.5,261.5,120.125,5,5,0.596351,0,1.24584
65,1,2,2,5.65685,7,27,1,1,999
66,2,2,2,5.65685,23,8,1,1,999
67,3,2,2,5.65685,21,6,1,1,999
68,4,2,2,5.65685,20,5,1,1,999
69,0,1528,1528,430.701,5,5,0.605988,1,3.10016
70,1,2,2,5.65685,7,62,1,1,999
71,2,2,2,5.65685,9,61,1,1,999
72,3,2,2,5.65685,9,57,1,1,999
73,4,2,2,5.65685,23,47,1,1,999
74,5,2,2,5.65685,27,45,1,1,999
75,6,2,2,5.65685,56,39,1,1,999
76,7,2,2,5.65685,54,39,1,1,999
77,8,11,11,14.4853,57,38,0.916667,1,1.31679
78,9,2,2,5.65685,54,35,1,1,999
79,10,2,2,5.65685,31,35,1,1,999
80,11,2,2,5.65685,67,34,1,1,999
81,12,2,2,5.65685,50,34,1,1,999
82,13,2,2,5.65685,51,33,1,1,999
83,14,2,2,5.65685,46,33,1,1,999
84,15,2,2,5.65685,66,32,1,1,999
85,16,2,2,5.65685,53,32,1,1,999
86,17,2,2,5.65685,71,21,1,1,999
87,18,13,13,14.4853,73,18,0.928571,0,1.33103
88,19,2,2,5.65685,61,18,1,1,999
89,20,4,4,7.65685,63,16,1,0,1.41421
90,21,15.5,15.5,16.7279,75,15,0.911765,0,1.41356
91,22,4,4,7.65685,61,15,1,0,1.41421
92,23,4,4,7.65685,70,12,1,0,1.41421
93,0,134,134,90.9117,5,5,0.582609,1,1.18771
94,0,108.5,108.5,45.2132,5,5,0.896694,1,1.38756
95,0,110,110,53.9411,5,5,0.791367,0,1.99322
96,1,2,2,5.65685,10,15,1,1,999
97,2,2,2,5.65685,10,7,1,1,999
98,0,1442.5,1442.5,587.37,5,5,0.322166,3,2.28345
99,1,4,4,7.65685,150,42,1,1,1.41421
100,2,2,2,5.65685,140,40,1,1,999
101,3,2,2,5.65685,134,38,1,1,999
102,4,2,2,5.65685,29,38,1,1,999
